ons_id,constituency_name,region_name,constituency_type,first_party,second_party,electorate,valid_votes,majority,con,lab,ld,brexit,green,snp,pc,dup,sf,sdlp,uup,alliance,other,other_winner
E14000873,Oxford East,South East,Borough,Lab,Con,78303,49359,17832,10303,28135,6884,1146,2392,0,0,0,0,0,0,0,499,0
E14000874,Oxford West and Abingdon,South East,County,LD,Con,76951,58824,8943,22397,4258,31340,829,0,0,0,0,0,0,0,0,0,0
S14000052,Paisley and Renfrewshire North,Scotland,County,SNP,Lab,72007,49682,11902,11217,11451,3661,0,0,23353,0,0,0,0,0,0,0,0
S14000053,Paisley and Renfrewshire South,Scotland,County,SNP,Lab,64385,43084,10679,7571,10958,2918,0,0,21637,0,0,0,0,0,0,0,0
E14000875,Pendle,North West,Borough,Con,Lab,65292,44460,6186,24076,17890,1548,0,678,0,0,0,0,0,0,0,268,0
E14000876,Penistone and Stocksbridge,Yorkshire and The Humber,County,Con,Lab,70925,49520,7210,23688,16478,5054,4300,0,0,0,0,0,0,0,0,0,0
E14000877,Penrith and The Border,North West,County,Con,Lab,67555,47824,18519,28875,10356,5364,0,2159,0,0,0,0,0,0,0,1070,0
S14000054,Perth and North Perthshire,Scotland,County,SNP,Con,72600,54076,7550,19812,2471,3780,651,0,27362,0,0,0,0,0,0,0,0
E14000878,Peterborough,East,Borough,Con,Lab,72560,47801,2580,22334,19754,2334,2127,728,0,0,0,0,0,0,0,524,0
E14000879,"Plymouth, Moor View",South West,Borough,Con,Lab,69430,44239,12897,26831,13934,2301,0,1173,0,0,0,0,0,0,0,0,0
E14000880,"Plymouth, Sutton and Devonport",South West,Borough,Lab,Con,77852,53176,4757,20704,25461,2545,2909,1557,0,0,0,0,0,0,0,0,0
W07000075,Pontypridd,Wales,County,Lab,Con,60327,39060,5887,11494,17381,0,2917,0,0,4990,0,0,0,0,0,2278,0
E14000881,Poole,South West,Borough,Con,Lab,73989,50451,19116,29599,10483,7819,0,1702,0,0,0,0,0,0,0,848,0
E14000882,Poplar and Limehouse,London,Borough,Lab,Con,91836,61276,28904,9756,38660,8832,1493,2159,0,0,0,0,0,0,0,376,0
E14000883,Portsmouth North,South East,Borough,Con,Lab,71299,45910,15780,28172,12392,3419,0,1304,0,0,0,0,0,0,0,623,0
E14000884,Portsmouth South,South East,Borough,Lab,Con,74186,47425,5363,17705,23068,5418,994,0,0,0,0,0,0,0,0,240,0
W07000065,Preseli Pembrokeshire,Wales,County,Con,Lab,59606,42419,5062,21381,16319,1943,0,0,0,2776,0,0,0,0,0,0,0
E14000885,Preston,North West,Borough,Lab,Con,59672,33790,12146,8724,20870,1737,1799,660,0,0,0,0,0,0,0,0,0
E14000886,Pudsey,Yorkshire and The Humber,Borough,Con,Lab,73212,54215,3517,26453,22936,3088,0,894,0,0,0,0,0,0,0,844,0
E14000887,Putney,London,Borough,Lab,Con,65556,50467,4774,18006,22780,8548,0,1133,0,0,0,0,0,0,0,0,0
E14000888,Rayleigh and Wickford,East,County,Con,Lab,78930,54901,31000,39864,8864,4171,0,2002,0,0,0,0,0,0,0,0,0
E14000889,Reading East,South East,Borough,Lab,Con,77152,55918,5924,21178,27102,5035,852,1549,0,0,0,0,0,0,0,202,0
E14000890,Reading West,South East,County,Con,Lab,74137,50392,4117,24393,20276,4460,0,1263,0,0,0,0,0,0,0,0,0
E14000891,Redcar,North East,Borough,Con,Lab,65864,40842,3527,18811,15284,2018,2915,491,0,0,0,0,0,0,0,1323,0
E14000892,Redditch,West Midlands,County,Con,Lab,65391,44067,16036,27907,11871,2905,0,1384,0,0,0,0,0,0,0,0,0
E14000893,Reigate,South East,Borough,Con,Lab,74242,53156,18310,28665,10355,10320,0,3169,0,0,0,0,0,0,0,647,0
W07000052,Rhondda,Wales,County,Lab,Con,50262,29642,11440,4675,16115,612,3733,438,0,4069,0,0,0,0,0,0,0
E14000894,Ribble Valley,North West,County,Con,Lab,79247,55284,18439,33346,14907,4776,0,1704,0,0,0,0,0,0,0,551,0
E14000896,Richmond Park,London,Borough,LD,Con,82699,65067,7766,26793,3407,34559,0,0,0,0,0,0,0,0,0,308,0
E14000895,Richmond (Yorks),Yorkshire and The Humber,County,Con,Lab,82569,57703,27210,36693,9483,6989,0,2500,0,0,0,0,0,0,0,2038,0
E14000897,Rochdale,North West,County,Lab,Con,78909,47447,9668,14807,24475,3312,3867,986,0,0,0,0,0,0,0,0,0
E14000898,Rochester and Strood,South East,County,Con,Lab,82056,51926,17072,31151,14079,3717,0,1312,0,0,0,0,0,0,0,1667,0
E14000899,Rochford and Southend East,East,County,Con,Lab,75624,46136,12286,27063,14777,2822,0,0,0,0,0,0,0,0,0,1474,0
E14000900,Romford,London,Borough,Con,Lab,72350,47231,17893,30494,12601,2708,0,1428,0,0,0,0,0,0,0,0,0
E14000901,Romsey and Southampton North,South East,County,Con,LD,68228,51390,10872,27862,5898,16990,0,0,0,0,0,0,0,0,0,640,0
E14000902,Rossendale and Darwen,North West,Borough,Con,Lab,72770,48822,9522,27570,18048,2011,0,1193,0,0,0,0,0,0,0,0,0
S14000055,"Ross, Skye and Lochaber",Scotland,County,SNP,LD,54230,39869,9443,6900,2448,9820,710,0,19263,0,0,0,0,0,0,728,0
E14000904,Rotherham,Yorkshire and The Humber,Borough,Lab,Con,61688,35651,3121,11615,14736,2090,6125,0,0,0,0,0,0,0,0,1085,0
E14000903,Rother Valley,Yorkshire and The Humber,County,Con,Lab,74804,48698,6318,21970,15652,2553,6264,1219,0,0,0,0,0,0,0,1040,0
E14000905,Rugby,West Midlands,County,Con,Lab,72292,50814,13447,29255,15808,4207,0,1544,0,0,0,0,0,0,0,0,0
E14000906,"Ruislip, Northwood and Pinner",London,Borough,Con,Lab,72816,52904,16394,29391,12997,7986,0,1646,0,0,0,0,0,0,0,884,0
E14000907,Runnymede and Weybridge,South East,County,Con,Lab,77196,53289,18270,29262,10992,9236,0,1876,0,0,0,0,0,0,0,1923,0
E14000908,Rushcliffe,East Midlands,County,Con,Lab,77047,60505,7643,28765,21122,9600,0,0,0,0,0,0,0,0,0,1018,0
S14000056,Rutherglen and Hamilton West,Scotland,Borough,SNP,Lab,80918,53794,5230,8054,18545,2791,0,0,23775,0,0,0,0,0,0,629,0
E14000909,Rutland and Melton,East Midlands,County,Con,Lab,82705,58310,26924,36507,9583,7970,0,2875,0,0,0,0,0,0,0,1375,0
E14000910,Saffron Walden,East,County,Con,LD,87017,63086,27594,39714,8305,12120,0,2947,0,0,0,0,0,0,0,0,0
E14000911,Salford and Eccles,North West,Borough,Lab,Con,82202,50632,16327,12428,28755,3099,4290,2060,0,0,0,0,0,0,0,0,0
E14000912,Salisbury,South West,County,Con,LD,74556,53730,19736,30280,9675,10544,0,2486,0,0,0,0,0,0,0,745,0
E14000913,Scarborough and Whitby,Yorkshire and The Humber,County,Con,Lab,74404,49724,10270,27593,17323,3038,0,0,0,0,0,0,0,0,0,1770,0
